Provinsi/Kabupaten/Kota / Indonesia,
,Indeks Pembangunan Manusia Menurut Kabupaten/Kota
KOTA PROBOLINGGO,74.85
KOTA PASURUAN,73.89
KOTA MOJOKERTO,77.5
KOTA MADIUN,77.07
KOTA SURABAYA,77.85
KOTA BATU,74.93
BANTEN,70.95
PANDEGLANG,68.77
LEBAK,67.98
TANGERANG,72.05
SERANG,69.33
KOTA TANGERANG,75.44
KOTA CILEGON,75.6
KOTA SERANG,71.45
KOTA TANGERANG SELATAN,76.01
BALI,72.84
JEMBRANA,73.18
TABANAN,75.24
BADUNG,75.35
GIANYAR,73.43
KLUNGKUNG,71.02
BANGLI,71.42
KARANG ASEM,67.07
BULELENG,71.12
KOTA DENPASAR,78.31
NUSA TENGGARA BARAT,66.23
LOMBOK BARAT,62.5
LOMBOK TENGAH,61.66
LOMBOK TIMUR,63.93
SUMBAWA,66.67
DOMPU,66.7
BIMA,65.74
SUMBAWA BARAT,67.08
LOMBOK UTARA,60.93
KOTA MATARAM,72.83
KOTA BIMA,69.1
NUSA TENGGARA TIMUR,67.75
SUMBA BARAT,64.31
SUMBA TIMUR,62.5
KUPANG,66.77
TIMOR TENGAH SELATAN,66.29
TIMOR TENGAH UTARA,67.93
BELU,64.75
ALOR,68.92
LEMBATA,68.07
FLORES TIMUR,68.71
SIKKA,68.22
ENDE,67.58
NGADA,70.13
MANGGARAI,67.81
ROTE NDAO,66.61
MANGGARAI BARAT,66.09
SUMBA TENGAH,61.42
SUMBA BARAT DAYA,61.22
NAGEKEO,66.59
MANGGARAI TIMUR,66.55
SABU RAIJUA,56.12
MALAKA,-
KOTA KUPANG,77.71
KALIMANTAN BARAT,69.66
SAMBAS,65.8
BENGKAYANG,67.98
LANDAK,68.16
PONTIANAK,69.07
SANGGAU,68.97
KETAPANG,68.63
SINTANG,68.77
KAPUAS HULU,70.38
SEKADAU,67.52
MELAWI,69.01
KAYONG UTARA,65.75
KUBU RAYA,68.06
KOTA PONTIANAK,73.43
KOTA SINGKAWANG,69.21
KALIMANTAN TENGAH,75.06
KOTAWARINGIN BARAT,74.19
KOTAWARINGIN TIMUR,74.74
KAPUAS,74
BARITO SELATAN,74.01
BARITO UTARA,75.5
SUKAMARA,72.42
LAMANDAU,72.74
SERUYAN,72.93
KATINGAN,73.32
PULANG PISAU,72.37
GUNUNG MAS,73.73
BARITO TIMUR,73.33
MURUNG RAYA,73.34
KOTA PALANGKA RAYA,78.78
KALIMANTAN SELATAN,70.44
TANAH LAUT,72
KOTA BARU,71.69
BANJAR,71.28
BARITO KUALA,68.36
TAPIN,71
HULU SUNGAI SELATAN,71.2
HULU SUNGAI TENGAH,71.19
HULU SUNGAI UTARA,69.45
TABALONG,70.45
TANAH BUMBU,70.41
BALANGAN,67.35
KOTA BANJARMASIN,74.24
KOTA BANJAR BARU,75.43
KALIMANTAN TIMUR,76.22
PASIR,75.4
KUTAI BARAT,73.69
KUTAI KARTANEGARA,73.51
KUTAI TIMUR,72.88
BERAU,74.63
MALINAU,73.26
BULUNGAN,75.54
NUNUKAN,74.38
PENAJAM PASER UTARA,74.03
TANA TIDUNG,71.87
MAHAKAM ULU,-
KOTA BALIKPAPAN,78.85
KOTA SAMARINDA,77.63
KOTA TARAKAN,77.19
KOTA BONTANG,77.52
KALIMANTAN UTARA,-
MALINAU,-
BULONGAN,-
TANA TIDUNG,-
NUNUKAN,-
KOTA TARAKAN,-
SULAWESI UTARA,76.54
BOLAANG MONGONDOW,73.47
MINAHASA,76.12
KEPULAUAN SANGIHE,76.07
KEPULAUAN TALAUD,75.76
MINAHASA SELATAN,75.1
MINAHASA UTARA,76.54
BOLAANG MONGONDOW UTARA,73.08
SIAU TAGULANDANG BIARO,73.7
MINAHASA TENGGARA,73.09
BOLAANG MONGONDOW SELATAN,70.87
BOLAANG MONGONDOW TIMUR,72.97
KOTA MANADO,78.57
KOTA BITUNG,75.96
KOTA TOMOHON,76.92
KOTA KOTAMOBAGU,76.03
SULAWESI TENGAH,71.62
BANGGAI KEPULAUAN,68.28
BANGGAI,71.84
MOROWALI,71.47
POSO,70.71
DONGGALA,70.32
TOLI-TOLI,69.25
BUOL,70.27
PARIGI MOUTONG,69.28
TOJO UNA-UNA,69.28
SIGI,68.16
BANGGAI LAUT,-
MOROWALI UTARA,-
KOTA PALU,76.92
SULAWESI SELATAN,72.14
KEPULAUAN SELAYAR,70
BULUKUMBA,71.77
BANTAENG,70.66
JENEPONTO,65.27
TAKALAR,69.09
GOWA,71.29
SINJAI,70.16
MAROS,71.74
PANGKAJENE DAN KEPULAUAN,69.89
BARRU,71.19
BONE,70.77
SOPPENG,72.23
WAJO,71.04
SIDENRENG RAPPANG,72.74
PINRANG,73.8
ENREKANG,74.84
LUWU,74.42
TANA TORAJA,72.29
LUWU UTARA,74.69
LUWU TIMUR,73.11
TORAJA UTARA,70.15
KOTA MAKASSAR,79.11
KOTA PARE-PARE,78.19
KOTA PALOPO,76.85
SULAWESI TENGGARA,70.55
BUTON,69.34
MUNA,67.95
KONAWE,70.42
KOLAKA,71.46
KONAWE SELATAN,69.8
BOMBANA,67.85
WAKATOBI,68.04
KOLAKA UTARA,69.33
BUTON UTARA,68.86
KONAWE UTARA,69.24
KOLAKA TIMUR,-
KONAWE KEPULAUAN,-
MUNA BARAT,-
BUTON TENGAH,-
BUTON SELATAN,-
KOTA KENDARI,76.07
KOTA BAU-BAU,74.1
GORONTALO,70.82
BOALEMO,69.16
GORONTALO,70.63
POHUWATO,70.36
BONE BOLANGO,72.22
GORONTALO UTARA,69.37
KOTA GORONTALO,73.67
SULAWESI BARAT,70.11
MAJENE,71.86
POLEWALI MANDAR,67.88
MAMASA,71.62
MAMUJU,69.78
MAMUJU UTARA,70.41
MAMUJU TENGAH,-
MALUKU,71.87
MALUKU TENGGARA BARAT,69.23
MALUKU TENGGARA,72.85
MALUKU TENGAH,71.25
BURU,69.75
KEPULAUAN ARU,70.33
SERAM BAGIAN BARAT,70.07
SERAM BAGIAN TIMUR,68.53
MALUKU BARAT DAYA,66.99
BURU SELATAN,69.13
KOTA AMBON,78.97
KOTA TUAL,77.1
MALUKU UTARA,69.47
HALMAHERA BARAT,67.38
HALMAHERA TENGAH,69.6
KEPULAUAN SULA,68.42
HALMAHERA SELATAN,68.5
HALMAHERA UTARA,68.87
HALMAHERA TIMUR,68.3
PULAU MOROTAI,65.09
PULAU TALIABU,-
KOTA TERNATE,77.05
KOTA TIDORE KEPULAUAN,69.97
PAPUA BARAT,69.65
FAKFAK,72.13
KAIMANA,70.71
TELUK WONDAMA,66.06
TELUK BINTUNI,67.17
MANOKWARI,67.67
SORONG SELATAN,66.59
SORONG,68.93
RAJA AMPAT,65.06
TAMBRAUW,50.81
MAYBRAT,66.43
MANOKWARI SELATAN,-
PEGUNUNGAN ARFAK,-
KOTA SORONG,77.72
PAPUA BARAT DAYA,-
RAJA AMPAT,-
SORONG,-
SORONG SELATAN,-
MAYBRAT,-
TAMBRAUW,-
KOTA SORONG,-
PAPUA,65.36
MERAUKE,66.19
JAYAWIJAYA,56.6
JAYAPURA,72.75
NABIRE,67.33
KEPULAUAN YAPEN,70.19
BIAK NUMFOR,70.33
PANIAI,60.22
PUNCAK JAYA,68.34
MIMIKA,69.68
BOVEN DIGOEL,50.64
MAPPI,50.83
ASMAT,51.92
YAHUKIMO,50.3
PEGUNUNGAN BINTANG,49.45
TOLIKARA,52.43
SARMI,67.15
KEEROM,69.64
WAROPEN,63.71
SUPIORI,68.92
MAMBERAMO RAYA,59.86
NDUGA,48.43
LANNY JAYA,50.2
MAMBERAMO TENGAH,49.32
YALIMO,48.9
PUNCAK,49.35
DOGIYAI,50.49
INTAN JAYA,48.74
DEIYAI,49.31
KOTA JAYAPURA,76.29
PAPUA SELATAN,-
MERAUKE,-
BOVEN DIGOEL,-
MAPPI,-
ASMAT,-
PAPUA TENGAH,-
MIMIKA,-
DOGIYAI,-
DEIYAI,-
NABIRE,-
PANIAI,-
INTAN JAYA,-
PUNCAK,-
PUNJAK JAYA,-
PAPUA PEGUNUNGAN,-
NDUGA,-
JAYAWIJAYA,-
LANNY JAYA,-
TOLIKARA,-
MAMBERAMO TENGAH,-
YALIMO,-
YAHUKIMO,-
PEGUNUNGAN BINTANG,-
INDONESIA,72.77
